,recipe_list_url,recipe_name,recipe_url,recipe_long_name,recipe_ing,recipe,tags,times,servings
0,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=15,Tarkari Khichdi,https://www.tarladalal.com/tarkari-khichdi-22155r,Tarkari Khichdi recipe - How to make Tarkari Khichdi,"1/2 cup brown rice
 1/4 cup yellow moong dal (split yellow gram)
 1/4 cup sliced cauliflower
 1/4 cup peeled and sliced potatoes
 1/4 cup sliced brinjals (baingan / eggplant)
 1/4 cup sliced onions
 1/2 tsp cumin seeds (jeera)
 1/2 tsp turmeric powder (haldi)
 1 tsp chilli powder
 1 tbsp green paste
 1/2 tsp garam masala
 salt to taste","Method
Wash and soak the rice and moong dal in enough water for 15 minutes. Drain and keep aside.
Heat the pressure cooker and when hot, add the cumin seeds and dry roast on a medium flame for a few seconds.
Add cauliflower, potatoes, brinjals, onions, turmeric powder, chilli powder, green paste, garam masala and salt. Mix well and dry roast on a medium flame for 1 to 2 minutes.
Add the drained brown rice, moong dal and 2 cups of water, mix well and pressure cook for 3 whistles.
Allow the steam to escape before opening the lid.
Mix gently and serve immediately.","Gujarati Khichdi 
collection of khichdi recipes
Low Cal Rice Recipes
Indian Pressure Cooker
Healthy Pressure Cooker
Pressure Cooker
Home Remedies Protein Rich","Preparation Time: 10 mins, Cooking Time: 17 mins, Total Time: 42 mins , Soaking time:  15 minutes           ",3
1,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=15,"Quinoa Kale Khakhra, Healthy Quinoa and Oats Khakhra",https://www.tarladalal.com/quinoa-kale-khakhra-healthy-quinoa-and-oats-khakhra-42549r,"Quinoa Kale Khakhra, Healthy Quinoa and Oats Khakhra recipe - How to make Quinoa Kale Khakhra, Healthy Quinoa and Oats Khakhra","For Quinoa Kale Khakhra:
 1/2 cup quinoa flour
 5 tbsp finely chopped kale
 1/2 cup oats flour
 1/4 cup whole wheat flour (gehun ka atta)
 1/2 tbsp roasted sesame seeds (til)
 1/2 tsp garlic (lehsun) paste
 1/2 tsp green chilli paste
 salt to taste
 whole wheat flour (gehun ka atta) for rolling
 2 1/2 tsp olive oil for brushing","For quinoa kale khakhra
To make 
quinoa kale khakhra
, combine all the ingredients in a deep bowl and knead into a semi-soft dough using enough water
Divide the dough into 10 equal portions.
Roll out a portion of dough into a 150 mm (6”) diameter circle using a little whole wheat flour for rolling.
Heat a concave non-stick tava (griddle) and half cook the roti.
Remove on a plate and brush it lightly using ¼ tsp of olive oil.
Repeat steps 3 to 5 to half cook and brush the remaining rotis.
Heat a concave non-stick tava (griddle) and cook each brushed roti on a slow flame until crisp using little pressure with help of a muslin cloth or with a khakhra press.
Repeat step 7 to make 9 more khakhras.
Allow the 
quinoa kale khakhras
 to cool completely and store in an air-tight container.","Gujarati  Dry Snacks
Breakfast Khakhras
Quick Evening Snacks
Indian Jar Snacks
Evening Tea Snacks
Kids Tiffin Box
Snack Recipes for Kids","Preparation Time: 5 mins, Cooking Time: 40 mins, Total Time: 45 mins ,         ",10
2,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=15,"Sev Tameta, Rasawala Sev Tameta",https://www.tarladalal.com/sev-tameta-rasawala-sev-tameta-4341r,"Sev Tameta, Rasawala Sev Tameta recipe - How to make Sev Tameta, Rasawala Sev Tameta","For Sev Tameta:
 3/4 cup sev
 2 cups tomato cubes
 1 tbsp ghee
 1 tsp cumin seeds (jeera)
 6 curry leaves (kadi patta)
 1 tbsp chopped jaggery (gur)
 1 tsp chilli powder
 salt to taste
 2 tbsp finely chopped coriander (dhania)
 1 tsp lemon juice","Method
Heat the ghee in a deep non-stick pan, add the cumin seeds and curry leaves and sauté on a medium flame for 30 seconds.
Add the tomatoes, chill powder, jaggery, salt and 1 cup of water, mix well and cook on a medium flame for 8 to 10 minutes, while stirring occasionally.
Switch off the flame, add the coriander and lemon juice and mix well.
Just before serving, re-heat the subzi, add the sev and mix well.
Serve immediately.","Gujarati Shaak Sabzi
Jain Paryushan
Quick Sabzis
Non-stick Pan
Quick Sabzis
Lunch Sabzi","Preparation Time: 10 mins, Cooking Time: 11 mins, Total Time: 21 mins ,         ",4
3,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=15,"Yam Raita, Farali Suran Raita Recipe",https://www.tarladalal.com/yam-raita-farali-suran-raita-recipe-33294r,"Yam Raita, Farali Suran Raita Recipe recipe - How to make Yam Raita, Farali Suran Raita Recipe","For Yam Raita:
 1 cup peeled , boiled and mashed yam (suran)
 1 cup fresh curd (dahi)
 rock salt (sendha namak) to taste
 1 1/2 tsp sugar
 1/2 tsp green chilli paste
 1/2 tsp freshly ground black pepper (kalimirch)
 2 tsp chopped coriander (dhania)","For yam raita
To make 
yam raita
, combine all the ingredients in a bowl and mix well.
Refrigerate for at least 1 hour.
Serve 
 chilled.","Gujarati Kachumber / Chutneys / Achar
Gujarati  Faral, Faraal
Maharashtrian Upvas (Fasting)
Raitas
Mahashivaratri
Janmashtami
Shravan","Preparation Time: 10 mins, Cooking Time: 0 mins , Total Time: 10 mins ,         ",2
4,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=15,Shrikhand ( Gujarati Recipe),https://www.tarladalal.com/shrikhand--gujarati-recipe-35789r,Shrikhand ( Gujarati Recipe) recipe - How to make Shrikhand ( Gujarati Recipe),"For The Shrikhand:
 1 kg thick curds (dahi)
 1/2 cup powdered sugar
 a few saffron (kesar) strands
 1 tbsp warm milk
 1/2 tsp cardamom (elaichi) powder
 Garnish For The Shrikhand:
 1 tbsp pistachio slivers
 1 tbsp almond (badam) slivers","How to make the shrikhand
To make the 
shrikhand
, hang the curds in a muslin cloth in a cool place for approximately 3 hours until all the liquid (whey) has drained off.
Rub the saffron into the warm milk until it dissolves.
Mix together the hung curds, sugar, saffron mixture and cardamom in a bowl and mix well using a whisk.
Serve the 
 garnished with slivers of pistachios and almonds.
Variation:
strawberry shrikhand
Add 1 cup of sliced strawberries instead of the saffron and cardamom powder at step 2.
Adjust the sugar according to the sweetness of the strawberries.","Gujarati Sweet Mithai
Maharashtrian Sweet Dishes
Comfort Foods
Diwali
Diwali Sweets Mithai 
Comfort Food Mithai, Indian Desserts","Preparation Time: 5 mins, Cooking Time: 0 mins , Total Time: 5 mins ,         ",4
5,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=15,"Palak Pudina Sev, Jar Snack",https://www.tarladalal.com/palak-pudina-sev-jar-snack-42409r,"Palak Pudina Sev, Jar Snack recipe - How to make Palak Pudina Sev, Jar Snack","Palak Pudina Sev:
 3/4 cup rice flour (chawal ka atta)
 1 cup besan (bengal gram flour)
 1 tbsp oil
 salt to taste
 1/4 tsp oil for greasing
 oil for deep-frying
 To Be Blended Into A Smooth Paste:
 1 cup roughly chopped spinach (palak)
 1/2 cup mint leaves (pudina)
 1 tbsp roughly chopped coriander (dhania)
 1 tsp roughly chopped green chillies
 1/2 tsp roughly chopped garlic (lehsun)
 2 tsp lemon juice
 salt to taste
 1/2 cup water","Palak pudina sev
To make 
palak pudina sev
, combine all the ingredients, including the prepared paste in a deep bowl and knead into a soft dough.
Grease the sev ""press"" mould with little oil, transfer the dough into it, press it properly and cover it with the lid.
Press out thin strands of the sev into the hot oil, a few at a time and deep-fry on a slow flame till it turns very light brown in colour from all the sides. Drain on an absorbent paper.
Keep aside to cool for 5 to 10 minutes.
Transfer the sev into a deep bowl and break into pieces using your fingers.
Store the 
 in an air-tight container and use as required.","Punjabi Swadisht Nashta
Gujarati  Dry Snacks
Indian Jar Snacks
Evening Tea Snacks
Diwali
Diwali Snacks
Indian Travel Food Dry Snacks","Preparation Time: 15 mins, Cooking Time: 25 mins, Total Time: 40 mins ,         ",4
6,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=15,"Ponkh Chilla, Healthy Hurda Pudla",https://www.tarladalal.com/ponkh-chilla-healthy-hurda-pudla-42435r,"Ponkh Chilla, Healthy Hurda Pudla recipe - How to make Ponkh Chilla, Healthy Hurda Pudla","For Ponkh Chilla:
 1/2 cup ponk / ponkh (hurda)
 1/4 cup besan (bengal gram flour)
 3 tbsp rice flour (chawal ka atta)
 1 tbsp finely chopped coriander (dhania)
 1 tsp chilli powder
 1/4 tsp turmeric powder (haldi)
 1/4 tsp asafoetida (hing)
 salt to taste
 6 tsp oil for greasing and cooking
 For Serving:
 green chutney
 tomato ketchup","Method
Combine all the ingredients in a deep bowl and mix well.
Add approx. ¾ cup of water and mix very well.
Heat a non-stick tava (griddle) and grease it lightly with ½ tsp of oil.
Pour a ladleful of the batter on it and spread it in a circular motion to make a 150 mm. (6”) diameter circle.
Smear ½ tsp of oil over it and along the edges and cook on a high flame till the chila turns brown in colour.
Flip over and cook on the other side as well.
Repeat steps 3 to 6 to make 5 more chilas.
Serve immediately with green chutney and tomato ketchup.","Gujarati Breakfast
Breakfast  Chillas, Indian Pancakes
Indian Snacks for Entertaining
Indian Pancakes 
Evening Tea Snacks
One Dish Vegetarian Meals
Makar  Sankranti Pongal Festival","Preparation Time: 10 mins, Cooking Time: 20 mins, Total Time: 30 mins ,         ",6
7,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=15,"Buckwheat Dhokla, Faraal Buckwheat Dhokla",https://www.tarladalal.com/buckwheat-dhokla-faraal-buckwheat-dhokla-3547r,"Buckwheat Dhokla, Faraal Buckwheat Dhokla recipe - How to make Buckwheat Dhokla, Faraal Buckwheat Dhokla","For Buckwheat Dhokla:
 1 1/4 cups buckwheat (kuttu or kutti no daro)
 1/2 cup sour curds (khatta dahi)
 1 tsp green chilli paste
 1/4 tsp ginger (adrak) paste
 salt to taste","For buckwheat dhokla
To make 
farali buckwheat dhokla for upvas
, clean and wash the buckwheat in enough water only once. Washing it more will cause the starch to drain out.
Drain the excess water using a strainer.
Combine the buckwheat, curds and 1/3 cup of water in a deep bowl and mix well. Cover with a lid and keep aside to soak for at least 4 to 5 hours.
Add the green chilli paste, ginger paste and salt and mix very well.
Pour half the batter into a greased 175 mm. (7"") diameter thali and spread evenly by rotating the thali clockwise.
Steam in a steamer for 10 to 12 minutes or till the dhoklas are cooked.
Repeat steps 5 and 6 to make 1 more thali.
Cool slightly, cut into pieces and serve 
 immediately.
Handy tip:
At step 3, allow the mixture to soak for at least 4 hours in summer season. In winter season the soaking time should be increased to 5 hours and if needed to 6 hours depending on the temperature. This will ensure soft dhoklas as the end result.","Gujarati Farsans
Gujarati  Faral, Faraal
Gujarati Breakfast
Low Cal Breakfast
Breakfast Dhokla
Janmashtami
Navratri Vrat","Preparation Time: 5 mins, Cooking Time: 30 mins, Total Time: 5 hours 35 minutes, Soaking time:     4 to 5 hours           ",4
8,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=15,Cabbage Jowar Muthias,https://www.tarladalal.com/cabbage-jowar-muthias-3554r,Cabbage Jowar Muthias recipe - How to make Cabbage Jowar Muthias,"For Cabbage Jowar Muthias:
 1 cup grated cabbage
 1 cup jowar (white millet) flour
 1/4 cup low fat curds (dahi)
 1 tbsp chopped coriander (dhania)
 1/2 tbsp lemon juice
 1 tsp ginger-green chilli paste
 1 tsp garlic (lehsun) paste
 1/2 tsp turmeric powder (haldi)
 1/2 tsp asafoetida (hing)
 salt to taste
 1 tsp oil
 1 tsp cumin seeds (jeera)
 3 to 4 curry leaves (kadi patta)
 For The Garnish:
 1 tbsp finely chopped coriander (dhania)
 For Serving With Cabbage Jowar Muthias:
 green chutney","For cabbage jowar muthias
To make 
cabbage jowar muthias
, combine the cabbage, jowar flour, curds, coriander, lemon juice, ginger-green chilli paste, garlic paste, turmeric powder, ¼ tsp of asafoetida and salt in a deep bowl and knead into a soft dough using approx. ¼ cup of water.
Divide the dough into 2 equal portions and shape each portion into 125 mm. (5"") cylindrical roll.
Arrange both the rolls on a greased sieve and steam in a steamer for 20 to 25 minutes. Allow it to cool completely.
Once cooled, cut each roll into 13 mm. (½”) thick slices and keep aside.
Heat the oil in a broad non-stick pan and add the cumin seeds.
When the seeds crackle, add the remaining ¼ tsp of asafoetida and curry leaves and sauté for a few seconds.
Add the sliced muthias, mix well and cook on a medium flame for 2 to 3 minutes or till they turn light brown in colour, while tossing gently and occasionally.
Garnish the 
 with coriander and serve hot with green chutney.","Gujarati Farsans
Low Calorie Indian Snacks
Indian Steamed Snacks
Steam
Saute
Indian Party
Steamer","Preparation Time: 10 mins, Cooking Time: 29 mins, Total Time: 39 mins ,         ",3
9,https://www.tarladalal.com/recipes-for-veg-recipes-gujarati-24?pageindex=15,"Mawa Peda, Quick Mava Peda, Khoya Peda",https://www.tarladalal.com/mawa-peda-quick-mava-peda-khoya-peda-2057r,"Mawa Peda, Quick Mava Peda, Khoya Peda recipe - How to make Mawa Peda, Quick Mava Peda, Khoya Peda","For Mawa Peda:
 1 3/4 cups grated mawa (khoya)
 4 tbsp powdered sugar
 1/4 tsp cardamom (elaichi) powder
 10 almonds (badam) halves","For mawa peda
To make 
quick mawa peda
, put the mawa in a broad non-stick pan, mix well and cook on a medium flame for 5 to 7 minutes, while stirring continuously.
Transfer the mixture into a large plate, cool for atleast 20 minutes.
Add the sugar and cardamom powder and mix gently with your hands. The mixture should bind like a dough.
Refrigerate for 20 minutes.
Divide the mixture for 
khoya peda
 into 10 equal portions.
Roll each portion into a ball and then flatten it slightly in between your palms. Form a depression in the centre, put an almond halve in it and press it lightly.
Serve the 
instant mawa peda
 or store in an air-tight container and refrigerate it till serving.","Gujarati Sweet Mithai
Peda, Ladoo collection 
Traditional Indian Mithai
Diwali
Dussehra recipes | Dussehra Sweets
Raksha - Bandhan
Janmashtami","Preparation Time: 15 mins, Cooking Time: 7 mins, Total Time: 22 mins ,         ",10
